Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
O15258	RER1_HUMAN	reviewed	Protein RER1	RER1	Homo sapiens (Human)	196	TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 140 160 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein.	O15258
P17301	ITA2_HUMAN	reviewed	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	ITGA2 CD49B	Homo sapiens (Human)	1181	TRANSMEM 1133 1154 Helical. {ECO:0000255}.	SIGNAL 1 29 {ECO:0000269|PubMed:2545729}.	TOPO_DOM 30 1132 Extracellular. {ECO:0000255}.; TOPO_DOM 1155 1181 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	P17301
P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACPP	Homo sapiens (Human)	386		SIGNAL 1 32		SUBCELLULAR LOCATION: Isoform 1: Secreted {ECO:0000305|PubMed:17638863}.; SUBCELLULAR LOCATION: Isoform 2: Cell membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Note=Appears to shuttle between the cell membrane and intracellular vesicles. Colocalizes with FLOT1 at cell membrane and in intracellular vesicles (PubMed:17638863). Colocalizes with LAMP2 on the lysosome membrane (PubMed:17897319). {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}.	P15309
Q9NQ88	TIGAR_HUMAN	reviewed	Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	TIGAR C12orf5	Homo sapiens (Human)	270				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23185017, ECO:0000269|PubMed:25928429}. Nucleus {ECO:0000269|PubMed:25928429}. Mitochondrion {ECO:0000269|PubMed:23185017}. Note=Translocated to the mitochondria during hypoxia in a HIF1A-dependent manner (PubMed:23185017). Colocalizes with HK2 in the mitochondria during hypoxia (PubMed:23185017). Translocated to the nucleus during hypoxia and/or genome stress-induced DNA damage responses in cancer cells (PubMed:25928429). Translocation to the mitochondria is enhanced in ischemic cortex after reperfusion and/or during oxygen and glucose deprivation (OGD)/reoxygenation insult in primary neurons (By similarity). {ECO:0000250|UniProtKB:Q8BZA9, ECO:0000269|PubMed:23185017, ECO:0000269|PubMed:25928429}.	Q9NQ88
O75608	LYPA1_HUMAN	reviewed	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I)	LYPLA1 APT1 LPL1	Homo sapiens (Human)	230				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	O75608-2
Q71RC2	LARP4_HUMAN	reviewed	La-related protein 4 (La ribonucleoprotein domain family member 4)	LARP4 PP13296	Homo sapiens (Human)	724				SUBCELLULAR LOCATION: Cytoplasm, Stress granule {ECO:0000269|PubMed:21098120}. Cytoplasm, cytosol {ECO:0000269|PubMed:21098120, ECO:0000269|PubMed:27615744}. Note=Localized throughout the cytosol. Partially localized in stress granules in response to arsenite treatment. {ECO:0000269|PubMed:21098120}.	Q71RC2-6
Q709F0	ACD11_HUMAN	reviewed	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.99.-)	ACAD11	Homo sapiens (Human)	780				SUBCELLULAR LOCATION: Peroxisome {ECO:0000250}. Mitochondrion {ECO:0000269|PubMed:21237683}. Note=Has been detected associated with mitochondrial membrane, but no matrix, in kidney and cerebellum, as well as in a neuroblastoma cell line, but not in skin fibroblasts, where it is observed in cytoplasmic vesicles (PubMed:21237683). No mitochondrial targeting signals could be predicted for any known isoform, including a putative isoform starting at Met-316. {ECO:0000269|PubMed:21237683}.	Q709F0
P05231	IL6_HUMAN	reviewed	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212		SIGNAL 1 29 {ECO:0000269|PubMed:1883960, ECO:0000269|PubMed:2610854, ECO:0000269|PubMed:3279116}.		SUBCELLULAR LOCATION: Secreted.	P05231
P61204	ARF3_HUMAN	reviewed	ADP-ribosylation factor 3	ARF3	Homo sapiens (Human)	181				SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:17555535}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17555535}.	P61204
Q9H9B4	SFXN1_HUMAN	reviewed	Sideroflexin-1	SFXN1	Homo sapiens (Human)	322	TRANSMEM 103 120 Helical. {ECO:0000255}.; TRANSMEM 147 167 Helical. {ECO:0000255}.; TRANSMEM 175 195 Helical. {ECO:0000255}.; TRANSMEM 229 249 Helical. {ECO:0000255}.; TRANSMEM 267 287 Helical. {ECO:0000255}.		TOPO_DOM 2 102 Mitochondrial matrix. {ECO:0000305|PubMed:30442778}.; TOPO_DOM 121 146 Mitochondrial intermembrane. {ECO:0000305}.; TOPO_DOM 168 174 Mitochondrial matrix. {ECO:0000305}.; TOPO_DOM 196 228 Mitochondrial intermembrane. {ECO:0000305}.; TOPO_DOM 250 266 Mitochondrial matrix. {ECO:0000305}.; TOPO_DOM 288 322 Mitochondrial intermembrane. {ECO:0000305|PubMed:30442778}.	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30442778}; Multi-pass membrane protein {ECO:0000255}.	Q9H9B4
P51970	NDUA8_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	NDUFA8	Homo sapiens (Human)	172				SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:21310150}; Peripheral membrane protein {ECO:0000269|PubMed:21310150}. Mitochondrion intermembrane space {ECO:0000269|PubMed:21310150}. Mitochondrion {ECO:0000269|PubMed:23676665}.	P51970
P01037	CYTN_HUMAN	reviewed	Cystatin-SN (Cystain-SA-I) (Cystatin-1) (Salivary cystatin-SA-1)	CST1	Homo sapiens (Human)	141		SIGNAL 1 20 {ECO:0000269|PubMed:11788998, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1778989}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.	P01037
P61081	UBC12_HUMAN	reviewed	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.-) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	UBE2M UBC12	Homo sapiens (Human)	183					P61081
P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	BMP2 BMP2A	Homo sapiens (Human)	396		SIGNAL 1 23 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.	P12643
Q7L2E3	DHX30_HUMAN	reviewed	ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30)	DHX30 DDX30 KIAA0890	Homo sapiens (Human)	1194				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29100085}. Mitochondrion {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:29100085}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:25683715}. Note=Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids (PubMed:16825194, PubMed:25683715). Relocalizes to stress granules upon heat stress (PubMed:29100085). {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:25683715, ECO:0000269|PubMed:29100085}.	Q7L2E3-3
P11047	LAMC1_HUMAN	reviewed	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1 LAMB2	Homo sapiens (Human)	1609		SIGNAL 1 33		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	P11047
Q9NYU1	UGGG2_HUMAN	reviewed	UDP-glucose:glycoprotein glucosyltransferase 2 (UGT2) (hUGT2) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase 2) (UDP-glucose ceramide glucosyltransferase-like 1)	UGGT2 UGCGL2 UGT2	Homo sapiens (Human)	1516		SIGNAL 1 27 {ECO:0000255}.		SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:12913004}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:12913004}.	Q9NYU1
P24385	CCND1_HUMAN	reviewed	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9106657}. Cytoplasm {ECO:0000269|PubMed:9106657}. Membrane {ECO:0000269|PubMed:9106657}. Note=Cyclin D-CDK4 complexes accumulate at the nuclear membrane and are then translocated to the nucleus through interaction with KIP/CIP family members. {ECO:0000250}.	P24385
P17900	SAP3_HUMAN	reviewed	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]	GM2A	Homo sapiens (Human)	193		SIGNAL 1 23 {ECO:0000255}.		SUBCELLULAR LOCATION: Lysosome.	P17900
Q99988	GDF15_HUMAN	reviewed	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308		SIGNAL 1 29 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28572090, ECO:0000269|PubMed:29046435}.	Q99988
Q8N543	OGFD1_HUMAN	reviewed	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	OGFOD1 KIAA1612 TPA1	Homo sapiens (Human)	542				SUBCELLULAR LOCATION: Isoform 1: Cytoplasm. Nucleus. Note=Mainly nuclear. A portion relocalizes to cytoplasmic stress granules upon stress.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm.	Q8N543
P30154	2AAB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)	PPP2R1B	Homo sapiens (Human)	601					P30154
O43301	HS12A_HUMAN	reviewed	Heat shock 70 kDa protein 12A	HSPA12A KIAA0417	Homo sapiens (Human)	675					O43301
Q15063	POSTN_HUMAN	reviewed	Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)	POSTN OSF2	Homo sapiens (Human)	836		SIGNAL 1 21 {ECO:0000255}.		SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000250|UniProtKB:Q62009}. Secreted {ECO:0000269|PubMed:18450759, ECO:0000269|PubMed:26273833}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12235007, ECO:0000269|PubMed:18450759}. Note=Colocalizes with BMP1 in the Golgi. {ECO:0000250|UniProtKB:Q62009}.	Q15063-3,Q15063-4
Q53EP0	FND3B_HUMAN	reviewed	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)	FNDC3B FAD104 NS5ABP37 UNQ2421/PRO4979/PRO34274	Homo sapiens (Human)	1204	TRANSMEM 1182 1202 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.	Q53EP0
O14523	C2C2L_HUMAN	reviewed	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (C2CD2-like) (Transmembrane protein 24)	C2CD2L KIAA0285 TMEM24 DLNB23	Homo sapiens (Human)	706	TRANSMEM 10 30 Helical. {ECO:0000255}.		TOPO_DOM 1 9 Lumenal. {ECO:0000305|PubMed:28209843}.; TOPO_DOM 31 706 Cytoplasmic. {ECO:0000305|PubMed:28209843}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:28209843}; Single-pass membrane protein {ECO:0000269|PubMed:28209843}. Cell membrane {ECO:0000269|PubMed:28209843}; Peripheral membrane protein {ECO:0000269|PubMed:28209843}. Note=Localizes to sites of contact between the endoplasmic reticulum and the cell membrane (PubMed:28209843). Embedded into the endoplamic reticulum membrane via its N-terminal transmembrane domain and associates with cell membrane via its C-terminus (PubMed:28209843). In response to elevation of cytosolic Ca(2+), it is phosphorylated at its C-terminus and dissociates from the cell membrane and localizes to the reticular endoplamic reticulum (PubMed:28209843). Reassociates with cell membrane upon dephosphorylation (PubMed:28209843). {ECO:0000269|PubMed:28209843}.	O14523-2
Q5VYS8	TUT7_HUMAN	reviewed	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	TUT7 HS2 KIAA1711 ZCCHC6	Homo sapiens (Human)	1495				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25480299, ECO:0000269|PubMed:30122351}. Note=Expression is pancytoplasmic in contrast with TUT4 expression which is enriched in cytoplasmic ribonucleoprotein granules. {ECO:0000269|PubMed:30122351}.	Q5VYS8
Q8N2R8	FA43A_HUMAN	reviewed	Protein FAM43A	FAM43A PP7298	Homo sapiens (Human)	423					Q8N2R8
Q9HAV7	GRPE1_HUMAN	reviewed	GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)	GRPEL1 GREPEL1	Homo sapiens (Human)	217				SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11311562}.	Q9HAV7
Q92626	PXDN_HUMAN	reviewed	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)	PXDN KIAA0230 MG50 PRG2 VPO VPO1	Homo sapiens (Human)	1479		SIGNAL 1 26 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:19590037, ECO:0000269|Ref.8}. Note=Enriched in the peritubular space of fibrotic kidneys.	Q92626
P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339		SIGNAL 1 17 {ECO:0000255}.		SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:16733801}. Melanosome {ECO:0000269|PubMed:17081065}. Secreted, extracellular space {ECO:0000250|UniProtKB:A1E295}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.	P07858
Q8N1I0	DOCK4_HUMAN	reviewed	Dedicator of cytokinesis protein 4	DOCK4 KIAA0716	Homo sapiens (Human)	1966				SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12628187}. Cell projection {ECO:0000269|PubMed:20679435}. Cytoplasm, cytosol {ECO:0000305|PubMed:20679435}. Note=Colocalizes with EPHA2, RhoG and CTTN/cortactin at the tip of protrusions in migrating cells. {ECO:0000269|PubMed:20679435}.	Q8N1I0
Q9UEE5	ST17A_HUMAN	reviewed	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	STK17A DRAK1	Homo sapiens (Human)	414				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9786912}.	Q9UEE5
Q8WVM0	TFB1M_HUMAN	reviewed	Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (h-mtTFB) (h-mtTFB1) (hTFB1M) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)	TFB1M CGI-75	Homo sapiens (Human)	346				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11809803}.	Q8WVM0
P98066	TSG6_HUMAN	reviewed	Tumor necrosis factor-inducible gene 6 protein (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6)	TNFAIP6 TSG6	Homo sapiens (Human)	277		SIGNAL 1 17 {ECO:0000269|PubMed:7516184}.			P98066
Q9UKF7	PITC1_HUMAN	reviewed	Cytoplasmic phosphatidylinositol transfer protein 1 (Mammalian rdgB homolog beta) (M-rdgB beta) (MrdgBbeta) (Retinal degeneration B homolog beta) (RdgBbeta)	PITPNC1	Homo sapiens (Human)	332				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10531358}.	Q9UKF7-2
P24593	IBP5_HUMAN	reviewed	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	IGFBP5 IBP5	Homo sapiens (Human)	272		SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.	P24593
Q99584	S10AD_HUMAN	reviewed	Protein S100-A13 (S100 calcium-binding protein A13)	S100A13	Homo sapiens (Human)	98				SUBCELLULAR LOCATION: Cytoplasm. Secreted. Note=Secretion is mediated by exposure to stress and requires copper ions.	Q99584
O00300	TR11B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401		SIGNAL 1 21 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:9571159}.		SUBCELLULAR LOCATION: Secreted.	O00300
P14210	HGF_HUMAN	reviewed	Hepatocyte growth factor (Hepatopoietin-A) (Scatter factor) (SF) [Cleaved into: Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain]	HGF HPTA	Homo sapiens (Human)	728		SIGNAL 1 31 {ECO:0000269|PubMed:1826837}.			P14210-3
Q8NFW8	NEUA_HUMAN	reviewed	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)	CMAS	Homo sapiens (Human)	434				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11602804}.	Q8NFW8
P37059	DHB2_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239)	HSD17B2 EDH17B2 SDR9C2	Homo sapiens (Human)	387	TRANSMEM 4 24 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	P37059
P21399	ACOC_HUMAN	reviewed	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	Homo sapiens (Human)	889				SUBCELLULAR LOCATION: Cytoplasm.	P21399
O94832	MYO1D_HUMAN	reviewed	Unconventional myosin-Id	MYO1D KIAA0727	Homo sapiens (Human)	1006				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q63357}. Perikaryon {ECO:0000250|UniProtKB:Q63357}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q63357}. Early endosome {ECO:0000250|UniProtKB:F1PRN2}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q63357}. Note=Colocalizes with the actin cytoskeleton in the cell cortex close to the apical cell membrane. Colocalizes with cytoplasmic puncta that are reminiscent of transport vesicles. {ECO:0000250|UniProtKB:Q63357}.	O94832
Q9NZI8	IF2B1_HUMAN	reviewed	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	IGF2BP1 CRDBP VICKZ1 ZBP1	Homo sapiens (Human)	577				SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, perinuclear region. Cell projection, lamellipodium. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Cell projection, growth cone. Cell projection, filopodium {ECO:0000250}. Cell projection, axon {ECO:0000250}. Note=In the nucleus, located in discrete foci, coinciding with the sites of ACTB transcription (By similarity). In the cytoplasm, localizes in cytoplasmic mRNP granules. Colocalizes with microtubules in growth cone filopodia and along neurites in neuronal cells (By similarity). Cytoplasmic colocalization with ACTB mRNA is partially lost at the cell periphery, suggesting release of the transcript. In neuronal processes, exhibits fast retrograde and anterograde movements, when associated with ACTB mRNA; this motility is lost when the association is inhibited (By similarity). In hippocampal neurons, predominantly located within dendrites, particularly at dendritic branching points in young cells, compared to axons (By similarity). In axons, predominantly found in axonal branches and their growth cones (By similarity). In motile cells, such as migrating fibroblasts, localizes to leading edges where it colocalizes with microtubules and microfilaments and to retracting tails (By similarity). Dendritic levels are regulated by neuronal activity and glutaminergic signals: they are increased by KCl-induced depolarization, which induces rapid efflux from the cell body into dendrites, and decreased by the NMDA receptor agonist (By similarity). In motile cells, transported towards the leading edge into the cortical region of the lamellipodia where it is connected to microfilaments (By similarity). In response to cellular stress, such as oxidative stress or heat shock, recruited to stress granules, but not to processing bodies. {ECO:0000250}.	Q9NZI8
Q07820	MCL1_HUMAN	reviewed	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	MCL1 BCL2L3	Homo sapiens (Human)	350	TRANSMEM 328 348 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cytoplasm. Mitochondrion. Nucleus, nucleoplasm. Note=Cytoplasmic, associated with mitochondria.	Q07820
Q96A26	F162A_HUMAN	reviewed	Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)	FAM162A C3orf28 E2IG5 DC16 FWP001	Homo sapiens (Human)	154	TRANSMEM 103 120 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Mitochondrion {ECO:0000269|PubMed:15082785, ECO:0000269|PubMed:16698020}.	Q96A26
P07738	PMGE_HUMAN	reviewed	Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)	BPGM	Homo sapiens (Human)	259					P07738
Q9BV23	ABHD6_HUMAN	reviewed	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	ABHD6	Homo sapiens (Human)	337	TRANSMEM 9 29 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.		TOPO_DOM 1 8 Extracellular. {ECO:0000255}.; TOPO_DOM 30 337 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q8R2Y0}; Single-pass type II membrane protein {ECO:0000255}.	Q9BV23
Q13478	IL18R_HUMAN	reviewed	Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (Interleukin-18 receptor alpha) (IL-18R-alpha) (IL-18Ralpha) (CD antigen CD218a)	IL18R1 IL1RRP	Homo sapiens (Human)	541	TRANSMEM 330 350 Helical. {ECO:0000255}.	SIGNAL 1 18 {ECO:0000269|PubMed:9325300}.	TOPO_DOM 22 329 Extracellular. {ECO:0000255}.; TOPO_DOM 351 541 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:14528293}; Single-pass type I membrane protein {ECO:0000305}.	Q13478
O14682	ENC1_HUMAN	reviewed	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	ENC1 KLHL37 NRPB PIG10	Homo sapiens (Human)	589				SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:19424503}. Cytoplasm {ECO:0000269|PubMed:19424503}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19424503}.	O14682
Q9GZT3	SLIRP_HUMAN	reviewed	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP C14orf156 DC23 DC50 PD04872	Homo sapiens (Human)	109				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16762838}. Nucleus {ECO:0000269|PubMed:16762838}. Note=Predominantly mitochondrial. Some fraction is nuclear. In the nucleus, it is recruited to nuclear receptor target promoters.	Q9GZT3-2
Q14997	PSME4_HUMAN	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200)	PSME4 KIAA0077	Homo sapiens (Human)	1843				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Nucleus {ECO:0000269|PubMed:12093752}. Nucleus speckle {ECO:0000250}. Note=Found in nuclear foci following treatment with ionizing radiation, but not with ultraviolet irradiation or H(2)O(2).	Q14997
