Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Intramembrane	Subcellular location [CC]	Topological domain	Transit peptide	Propeptide	Glycosylation	Disulfide bond	Cross-link	Region	yourlist:M201905286746803381A1F0E0DB47453E0216320D186141C
Q8NCL9	APCDL_HUMAN	reviewed	Protein APCDD1-like (Adenomatosis polyposis coli down-regulated 1 protein-like)	APCDD1L	Homo sapiens (Human)	501	TRANSMEM 481 501 Helical. {ECO:0000255}.	SIGNAL 1 24 {ECO:0000255}.		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.				CARBOHYD 150 150 N-linked (GlcNAc...) asparagine. {ECO:0000255}.				Q8NCL9
Q01432	AMPD3_HUMAN	reviewed	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase)	AMPD3	Homo sapiens (Human)	767											REGION 388 393 Substrate binding. {ECO:0000250}.; REGION 664 667 Substrate binding. {ECO:0000250}.	Q01432
O75326	SEM7A_HUMAN	reviewed	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666		SIGNAL 1 44 {ECO:0000255}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}; Extracellular side {ECO:0000269|PubMed:10201933, ECO:0000269|PubMed:17671519, ECO:0000269|PubMed:9712866}. Note=Detected in a punctate pattern on the cell membrane of basal and supra-basal skin keratinocytes.			PROPEP 649 666 Removed in mature form. {ECO:0000255}. /FTId=PRO_0000032348.	CARBOHYD 105 105 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20727575}.; CARBOHYD 157 157 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20727575}.; CARBOHYD 258 258 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20727575}.; CARBOHYD 330 330 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:20727575}.; CARBOHYD 602 602 N-linked (GlcNAc...) asparagine. {ECO:0000305|PubMed:10201933}.	DISULFID 120 126 {ECO:0000269|PubMed:20727575}.; DISULFID 143 152 {ECO:0000269|PubMed:20727575}.; DISULFID 266 366 {ECO:0000269|PubMed:20727575}.; DISULFID 291 335 {ECO:0000269|PubMed:20727575}.; DISULFID 493 511 {ECO:0000269|PubMed:20727575}.; DISULFID 500 541 {ECO:0000269|PubMed:20727575}.; DISULFID 503 518 {ECO:0000269|PubMed:20727575}.; DISULFID 566 613 {ECO:0000269|PubMed:20727575}.; DISULFID 587 596 {ECO:0000269|PubMed:20727575}.		REGION 267 269 Interaction with integrins.	O75326
P42830	CXCL5_HUMAN	reviewed	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]	CXCL5 ENA78 SCYB5	Homo sapiens (Human)	114		SIGNAL 1 36 {ECO:0000269|PubMed:10095777, ECO:0000269|PubMed:12665801}.		SUBCELLULAR LOCATION: Secreted.					DISULFID 49 75 {ECO:0000244|PDB:2MGS, ECO:0000269|PubMed:24695525}.; DISULFID 51 91 {ECO:0000244|PDB:2MGS, ECO:0000269|PubMed:24695525}.			P42830
P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19762560, ECO:0000269|PubMed:24936070, ECO:0000269|PubMed:25561023, ECO:0000269|PubMed:26442590}. Membrane {ECO:0000269|PubMed:24936070}. Nucleus {ECO:0000269|PubMed:12859192, ECO:0000269|PubMed:24936070}. Cell junction, synapse {ECO:0000269|PubMed:15282274}. Secreted {ECO:0000269|PubMed:24936070}. Note=Membrane-bound in dopaminergic neurons. {ECO:0000269|PubMed:15282274}.							REGION 20 67 4 X 11 AA tandem repeats of [EGS]-K-T-K-[EQ]-[GQ]-V-X(4).	P37840
P09038	FGF2_HUMAN	reviewed	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB	Homo sapiens (Human)	288				SUBCELLULAR LOCATION: Secreted. Nucleus. Note=Exported from cells by an endoplasmic reticulum (ER)/Golgi-independent mechanism. Unconventional secretion of FGF2 occurs by direct translocation across the plasma membrane. Binding of exogenous FGF2 to FGFR facilitates endocytosis followed by translocation of FGF2 across endosomal membrane into the cytosol. Nuclear import from the cytosol requires the classical nuclear import machinery, involving proteins KPNA1 and KPNB1, as well as CEP57.			PROPEP 1 142 Or 93, or 124, or 125, or 131, or 161. /FTId=PRO_0000008932.			CROSSLNK 228 228 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1). {ECO:0000244|PubMed:25114211}.	REGION 261 277 Heparin-binding. {ECO:0000250}.	P09038
Q7Z7L8	CK096_HUMAN	reviewed	Uncharacterized protein C11orf96 (Protein Ag2 homolog)	C11orf96 AG2	Homo sapiens (Human)	435												Q7Z7L8
O15403	MOT7_HUMAN	reviewed	Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6)	SLC16A6 MCT6 MCT7	Homo sapiens (Human)	523	TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 92 112 Helical. {ECO:0000255}.; TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 150 170 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 300 320 Helical. {ECO:0000255}.; TRANSMEM 331 351 Helical. {ECO:0000255}.; TRANSMEM 359 379 Helical. {ECO:0000255}.; TRANSMEM 382 402 Helical. {ECO:0000255}.; TRANSMEM 424 444 Helical. {ECO:0000255}.; TRANSMEM 453 473 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	TOPO_DOM 1 21 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 43 62 Extracellular. {ECO:0000255}.; TOPO_DOM 84 91 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 113 118 Extracellular. {ECO:0000255}.; TOPO_DOM 140 149 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 171 184 Extracellular. {ECO:0000255}.; TOPO_DOM 206 299 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 321 330 Extracellular. {ECO:0000255}.; TOPO_DOM 352 358 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 380 381 Extracellular. {ECO:0000255}.; TOPO_DOM 403 423 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 445 452 Extracellular. {ECO:0000255}.; TOPO_DOM 474 523 Cytoplasmic. {ECO:0000255}.							O15403
Q53GA4	PHLA2_HUMAN	reviewed	Pleckstrin homology-like domain family A member 2 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein) (Imprinted in placenta and liver protein) (Tumor-suppressing STF cDNA 3 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein) (p17-Beckwith-Wiedemann region 1 C) (p17-BWR1C)	PHLDA2 BWR1C HLDA2 IPL TSSC3	Homo sapiens (Human)	152				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.								Q53GA4
P05362	ICAM1_HUMAN	reviewed	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532	TRANSMEM 481 503 Helical. {ECO:0000255}.	SIGNAL 1 27		SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	TOPO_DOM 28 480 Extracellular. {ECO:0000255}.; TOPO_DOM 504 532 Cytoplasmic. {ECO:0000255}.			CARBOHYD 130 130 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:9539702}.; CARBOHYD 145 145 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19349973, ECO:0000269|PubMed:9539702}.; CARBOHYD 183 183 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:9539702}.; CARBOHYD 202 202 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:9539702, ECO:0000269|PubMed:9539703}.; CARBOHYD 267 267 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:15099525, ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:15099525}.; CARBOHYD 385 385 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:15099525}.; CARBOHYD 406 406 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 48 92 {ECO:0000244|PDB:1IAM, ECO:0000244|PDB:1IC1, ECO:0000244|PDB:1MQ8, ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:9539702, ECO:0000269|PubMed:9539703}.; DISULFID 52 96 {ECO:0000244|PDB:1IAM, ECO:0000244|PDB:1IC1, ECO:0000244|PDB:1MQ8, ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:9539702, ECO:0000269|PubMed:9539703}.; DISULFID 135 186 {ECO:0000244|PDB:1IAM, ECO:0000244|PDB:1IC1, ECO:0000244|PDB:1MQ8, ECO:0000269|PubMed:12526797, ECO:0000269|PubMed:9539702, ECO:0000269|PubMed:9539703}.; DISULFID 237 290 {ECO:0000244|PDB:1P53, ECO:0000269|PubMed:15099525}.; DISULFID 332 371 {ECO:0000244|PDB:1P53, ECO:0000269|PubMed:15099525}.; DISULFID 403 419 {ECO:0000244|PDB:1P53, ECO:0000269|PubMed:15099525}.; DISULFID 431 457 {ECO:0000244|PDB:1P53, ECO:0000269|PubMed:15099525}.			P05362
P13726	TF_HUMAN	reviewed	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	Homo sapiens (Human)	295	TRANSMEM 252 274 Helical. {ECO:0000255}.	SIGNAL 1 32		SUBCELLULAR LOCATION: Isoform 1: Membrane {ECO:0000269|PubMed:12652293}; Single-pass type I membrane protein {ECO:0000269|PubMed:12652293}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:12652293}.	TOPO_DOM 33 251 Extracellular. {ECO:0000255}.; TOPO_DOM 275 295 Cytoplasmic. {ECO:0000255}.			CARBOHYD 156 156 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 169 169 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 81 89 {ECO:0000269|PubMed:3166978}.; DISULFID 218 241 {ECO:0000269|PubMed:3166978}.			P13726
P13611	CSPG2_HUMAN	reviewed	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)	VCAN CSPG2	Homo sapiens (Human)	3396		SIGNAL 1 20 {ECO:0000269|PubMed:1429726}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.				CARBOHYD 57 57 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 330 330 N-linked (GlcNAc...) asparagine.; CARBOHYD 615 615 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 782 782 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 809 809 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1332 1332 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1398 1398 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1442 1442 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1468 1468 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1663 1663 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1898 1898 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2179 2179 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2272 2272 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2280 2280 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2360 2360 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2385 2385 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2392 2392 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2496 2496 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2628 2628 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2934 2934 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3067 3067 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3369 3369 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 3379 3379 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 44 130 {ECO:0000250}.; DISULFID 172 243 {ECO:0000250}.; DISULFID 196 217 {ECO:0000250}.; DISULFID 270 345 {ECO:0000250}.; DISULFID 294 315 {ECO:0000250}.; DISULFID 3093 3104 {ECO:0000250}.; DISULFID 3098 3113 {ECO:0000250}.; DISULFID 3115 3124 {ECO:0000250}.; DISULFID 3131 3142 {ECO:0000250}.; DISULFID 3136 3151 {ECO:0000250}.; DISULFID 3153 3162 {ECO:0000250}.; DISULFID 3169 3180 {ECO:0000250}.; DISULFID 3197 3289 {ECO:0000250}.; DISULFID 3265 3281 {ECO:0000250}.; DISULFID 3296 3339 {ECO:0000250}.; DISULFID 3325 3352 {ECO:0000250}.		REGION 348 1335 GAG-alpha (glucosaminoglycan attachment domain).; REGION 1336 3089 GAG-beta.	P13611
P23677	IP3KA_HUMAN	reviewed	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)	ITPKA	Homo sapiens (Human)	461											REGION 287 295 Calmodulin-binding. {ECO:0000250}.; REGION 312 319 Substrate binding. {ECO:0000269|PubMed:15350214}.	P23677
Q9HBI1	PARVB_HUMAN	reviewed	Beta-parvin (Affixin)	PARVB CGI-56	Homo sapiens (Human)	364				SUBCELLULAR LOCATION: Cell junction, focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton. Cell projection, lamellipodium. Cytoplasm, myofibril, sarcomere. Cytoplasm, myofibril, sarcomere, Z line. Note=Constituent of focal adhesions. Detected at the tips of the leading edge of cells. Colocalizes with F-actin at the tips of lamellipodia.								Q9HBI1
P17676	CEBPB_HUMAN	reviewed	CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)	CEBPB TCF5 PP9092	Homo sapiens (Human)	345				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20829347}. Cytoplasm {ECO:0000269|PubMed:9374525}. Note=Translocates to the nucleus when phosphorylated at Ser-288. In T-cells when sumoylated drawn to pericentric heterochromatin thereby allowing proliferation (By similarity). {ECO:0000250|UniProtKB:P28033, ECO:0000269|PubMed:9374525}.				CARBOHYD 227 227 O-linked (GlcNAc) serine. {ECO:0000250|UniProtKB:P28033}.; CARBOHYD 228 228 O-linked (GlcNAc) serine. {ECO:0000250|UniProtKB:P28033}.		CROSSLNK 133 133 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate. {ECO:0000244|PubMed:25218447, ECO:0000244|PubMed:25772364, ECO:0000244|PubMed:28112733}.; CROSSLNK 174 174 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO); alternate. {ECO:0000269|PubMed:12810706}.; CROSSLNK 174 174 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate. {ECO:0000244|PubMed:25218447, ECO:0000244|PubMed:25755297, ECO:0000244|PubMed:25772364, ECO:0000244|PubMed:28112733}.; CROSSLNK 185 185 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:28112733}.; CROSSLNK 187 187 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:25218447, ECO:0000244|PubMed:25772364, ECO:0000244|PubMed:28112733}.; CROSSLNK 260 260 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:25218447, ECO:0000244|PubMed:25772364, ECO:0000244|PubMed:28112733}.; CROSSLNK 262 262 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:28112733}.; CROSSLNK 332 332 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2). {ECO:0000244|PubMed:28112733}.	REGION 1 24 Required for Lys-174 sumoylation.; REGION 24 135 Required for MYC transcriptional repression. {ECO:0000250|UniProtKB:P28033}.; REGION 275 295 Basic motif. {ECO:0000255|PROSITE-ProRule:PRU00978}.; REGION 297 304 Leucine-zipper. {ECO:0000255|PROSITE-ProRule:PRU00978}.	P17676
P09341	GROA_HUMAN	reviewed	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)	107		SIGNAL 1 34 {ECO:0000269|PubMed:10095777, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1755384, ECO:0000269|PubMed:2182761, ECO:0000269|PubMed:2655583}.		SUBCELLULAR LOCATION: Secreted.					DISULFID 43 69; DISULFID 45 85			P09341
P01034	CYTC_HUMAN	reviewed	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	Homo sapiens (Human)	146		SIGNAL 1 26 {ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:6283552, ECO:0000269|PubMed:6365094, ECO:0000269|PubMed:6662498}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.					DISULFID 99 109; DISULFID 123 143			P01034
Q9BX10	GTPB2_HUMAN	reviewed	GTP-binding protein 2	GTPBP2	Homo sapiens (Human)	602												Q9BX10
O14682	ENC1_HUMAN	reviewed	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	ENC1 KLHL37 NRPB PIG10	Homo sapiens (Human)	589				SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:19424503}. Cytoplasm {ECO:0000269|PubMed:19424503}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19424503}.								O14682
P25774	CATS_HUMAN	reviewed	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331		SIGNAL 1 16 {ECO:0000255}.		SUBCELLULAR LOCATION: Lysosome.			PROPEP 17 114 Activation peptide. /FTId=PRO_0000026313.	CARBOHYD 104 104 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 126 224 {ECO:0000269|PubMed:17469812}.; DISULFID 136 180 {ECO:0000269|PubMed:17469812}.; DISULFID 170 213 {ECO:0000269|PubMed:17469812}.; DISULFID 272 320 {ECO:0000269|PubMed:17469812}.			P25774
P56199	ITA1_HUMAN	reviewed	Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a)	ITGA1	Homo sapiens (Human)	1179	TRANSMEM 1142 1164 Helical. {ECO:0000255}.	SIGNAL 1 28 {ECO:0000255}.		SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	TOPO_DOM 29 1141 Extracellular. {ECO:0000255}.; TOPO_DOM 1165 1179 Cytoplasmic. {ECO:0000255}.			CARBOHYD 74 74 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 100 100 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 105 105 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 112 112 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 217 217 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 317 317 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 341 341 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 402 402 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 418 418 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 460 460 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 532 532 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.; CARBOHYD 699 699 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 748 748 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 780 780 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 840 840 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 883 883 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 908 908 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 915 915 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 939 939 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 966 966 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 974 974 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1008 1008 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 1073 1073 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1083 1083 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1102 1102 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1113 1113 N-linked (GlcNAc...) asparagine. {ECO:0000255}.	DISULFID 82 92 {ECO:0000250}.; DISULFID 688 697 {ECO:0000250}.; DISULFID 703 756 {ECO:0000250}.; DISULFID 808 814 {ECO:0000250}.; DISULFID 878 886 {ECO:0000250}.; DISULFID 1030 1062 {ECO:0000250}.; DISULFID 1065 1072 {ECO:0000250}.			P56199
P01037	CYTN_HUMAN	reviewed	Cystatin-SN (Cystain-SA-I) (Cystatin-1) (Salivary cystatin-SA-1)	CST1	Homo sapiens (Human)	141		SIGNAL 1 20 {ECO:0000269|PubMed:11788998, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1778989}.		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.					DISULFID 94 104 {ECO:0000269|PubMed:20189825}.; DISULFID 118 138 {ECO:0000269|PubMed:20189825}.			P01037
Q9C002	NMES1_HUMAN	reviewed	Normal mucosa of esophagus-specific gene 1 protein (Protein FOAP-11)	NMES1 C15orf48	Homo sapiens (Human)	83				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12209954}.								Q9C002
P01112	RASH_HUMAN	reviewed	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189				SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor; Cytoplasmic side. Golgi apparatus. Golgi apparatus membrane; Lipid-anchor. Note=The active GTP-bound form is localized most strongly to membranes than the inactive GDP-bound form (By similarity). Shuttles between the plasma membrane and the Golgi apparatus. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus. Cytoplasm. Cytoplasm, perinuclear region. Note=Colocalizes with RACK1 to the perinuclear region.			PROPEP 187 189 Removed in mature form. /FTId=PRO_0000042997.			CROSSLNK 170 170 Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin). {ECO:0000269|PubMed:30442762}.	REGION 166 185 Hypervariable region.	P01112
P24593	IBP5_HUMAN	reviewed	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	IGFBP5 IBP5	Homo sapiens (Human)	272		SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted.				CARBOHYD 172 172 O-linked (HexNAc...) threonine. {ECO:0000269|PubMed:9883900}.	DISULFID 45 59 {ECO:0000255|PROSITE-ProRule:PRU00500, ECO:0000269|PubMed:22117064}.; DISULFID 67 80 {ECO:0000255|PROSITE-ProRule:PRU00500, ECO:0000269|PubMed:22117064}.; DISULFID 192 219 {ECO:0000255|PROSITE-ProRule:PRU00500, ECO:0000269|PubMed:22117064}.; DISULFID 230 241 {ECO:0000255|PROSITE-ProRule:PRU00500, ECO:0000269|PubMed:22117064}.; DISULFID 243 263 {ECO:0000255|PROSITE-ProRule:PRU00500, ECO:0000269|PubMed:22117064}.			P24593
G5E9Z6	G5E9Z6_HUMAN	unreviewed	Gamma-aminobutyric acid (GABA) A receptor, alpha 2, isoform CRA_b (Gamma-aminobutyric acid A receptor alpha 2 isoform 1) (Gamma-aminobutyric acid receptor subunit alpha-2)	GABRA2 hCG_15318	Homo sapiens (Human)	367	TRANSMEM 250 274 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 281 300 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 315 337 Helical. {ECO:0000256|SAM:Phobius}.	SIGNAL 1 28 {ECO:0000256|SAM:SignalP}.										G5E9Z6
P32189	GLPK_HUMAN	reviewed	Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)	GK	Homo sapiens (Human)	559				SUBCELLULAR LOCATION: Mitochondrion outer membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm. Note=In sperm and fetal tissues, the majority of the enzyme is bound to mitochondria, but in adult tissues, such as liver found in the cytoplasm.								P32189
Q16831	UPP1_HUMAN	reviewed	Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3)	UPP1 UP	Homo sapiens (Human)	310											REGION 138 141 Phosphate binding. {ECO:0000244|PDB:3EUF, ECO:0000269|PubMed:19291308}.	Q16831
