ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
HXK2_HUMAN	hexokinase 2(HK2)	Homo sapiens			Carbohydrate transport and metabolism,	GO:0001678~cellular glucose homeostasis,GO:0002931~response to ischemia,GO:0006096~glycolytic process,GO:0007595~lactation,GO:0008637~apoptotic mitochondrial changes,GO:0015758~glucose transport,GO:0035795~negative regulation of mitochondrial membrane permeability,GO:0046324~regulation of glucose import,GO:0046835~carbohydrate phosphorylation,GO:0051156~glucose 6-phosphate metabolic process,GO:0061621~canonical glycolysis,GO:0072655~establishment of protein localization to mitochondrion,GO:0072656~maintenance of protein location in mitochondrion,GO:1904925~positive regulation of mitophagy in response to mitochondrial depolarization,GO:2000378~negative regulation of reactive oxygen species metabolic process,	GO:0005623~cell,GO:0005741~mitochondrial outer membrane,GO:0005829~cytosol,GO:0016020~membrane,	GO:0004340~glucokinase activity,GO:0004396~hexokinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005536~glucose binding,GO:0008865~fructokinase activity,GO:0019158~mannokinase activity,	IPR001312:Hexokinase,IPR019807:Hexokinase, conserved site,IPR022672:Hexokinase, N-terminal,IPR022673:Hexokinase, C-terminal,	hsa00010:Glycolysis / Gluconeogenesis,hsa00051:Fructose and mannose metabolism,hsa00052:Galactose metabolism,hsa00500:Starch and sucrose metabolism,hsa00520:Amino sugar and nucleotide sugar metabolism,hsa00524:Butirosin and neomycin biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa04066:HIF-1 signaling pathway,hsa04910:Insulin signaling pathway,hsa04930:Type II diabetes mellitus,hsa04973:Carbohydrate digestion and absorption,hsa05230:Central carbon metabolism in cancer,				3D-structure,Acetylation,Allosteric enzyme,ATP-binding,Complete proteome,Glycolysis,Kinase,Membrane,Mitochondrion,Mitochondrion outer membrane,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transferase,	binding site:ATP,binding site:ATP 1,binding site:ATP 2,binding site:Glucose-6-phosphate 1,binding site:Glucose-6-phosphate 2,binding site:Substrate 1,binding site:Substrate 2,chain:Hexokinase-2,helix,modified residue,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,region of interest:Catalytic,region of interest:Glucose-6-phosphate 1 binding,region of interest:Glucose-6-phosphate 2 binding,region of interest:Hydrophobic,region of interest:Regulatory,region of interest:Substrate 1 binding,region of interest:Substrate 2 binding,sequence conflict,sequence variant,strand,turn,
HMGA2_HUMAN	high mobility group AT-hook 2(HMGA2)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001837~epithelial to mesenchymal transition,GO:0002062~chondrocyte differentiation,GO:0003131~mesodermal-endodermal cell signaling,GO:0006284~base-excision repair,GO:0006325~chromatin organization,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007067~mitotic nuclear division,GO:0007095~mitotic G2 DNA damage checkpoint,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0007283~spermatogenesis,GO:0008584~male gonad development,GO:0009615~response to virus,GO:0010564~regulation of cell cycle process,GO:0010628~positive regulation of gene expression,GO:0021846~cell proliferation in forebrain,GO:0021983~pituitary gland development,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030261~chromosome condensation,GO:0030325~adrenal gland development,GO:0031052~chromosome breakage,GO:0031507~heterochromatin assembly,GO:0033144~negative regulation of intracellular steroid hormone receptor signaling pathway,GO:0035019~somatic stem cell population maintenance,GO:0035978~histone H2A-S139 phosphorylation,GO:0035986~senescence-associated heterochromatin focus assembly,GO:0035987~endodermal cell differentiation,GO:0035988~chondrocyte proliferation,GO:0040008~regulation of growth,GO:0040018~positive regulation of multicellular organism growth,GO:0042769~DNA damage response, detection of DNA damage,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043392~negative regulation of DNA binding,GO:0043922~negative regulation by host of viral transcription,GO:0045444~fat cell differentiation,GO:0045869~negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046426~negative regulation of JAK-STAT cascade,GO:0048333~mesodermal cell differentiation,GO:0048712~negative regulation of astrocyte differentiation,GO:0048762~mesenchymal cell differentiation,GO:0048863~stem cell differentiation,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051301~cell division,GO:0060123~regulation of growth hormone secretion,GO:0060428~lung epithelium development,GO:0060441~epithelial tube branching involved in lung morphogenesis,GO:0060501~positive regulation of epithelial cell proliferation involved in lung morphogenesis,GO:0060613~fat pad development,GO:0071158~positive regulation of cell cycle arrest,GO:0090402~oncogene-induced cell senescence,GO:2000036~regulation of stem cell population maintenance,GO:2000648~positive regulation of stem cell proliferation,GO:2000679~positive regulation of transcription regulatory region DNA binding,GO:2000685~positive regulation of cellular response to X-ray,GO:2000774~positive regulation of cellular senescence,GO:2001022~positive regulation of response to DNA damage stimulus,GO:2001033~negative regulation of double-strand break repair via nonhomologous end joining,GO:2001038~regulation of cellular response to drug,	GO:0000228~nuclear chromosome,GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0032993~protein-DNA complex,GO:0035985~senescence-associated heterochromatin focus,GO:0071141~SMAD protein complex,	GO:0000975~regulatory region DNA binding,GO:0000989~transcription factor activity, transcription factor binding,GO:0001047~core promoter binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003680~AT DNA binding,GO:0003906~DNA-(apurinic or apyrimidinic site) lyase activity,GO:0004677~DNA-dependent protein kinase activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0008301~DNA binding, bending,GO:0031492~nucleosomal DNA binding,GO:0035497~cAMP response element binding,GO:0035500~MH2 domain binding,GO:0035501~MH1 domain binding,GO:0046332~SMAD binding,GO:0051575~5'-deoxyribose-5-phosphate lyase activity,GO:0070742~C2H2 zinc finger domain binding,	IPR000116:High mobility group, HMG-I/HMG-Y,IPR000637:HMG-I/HMG-Y, DNA-binding, conserved site,IPR017956:AT hook, DNA-binding motif,	hsa05202:Transcriptional misregulation in cancer,hsa05206:MicroRNAs in cancer,	150699~Leiomyoma, uterine, somatic,		SM00384:AT_hook,	Acetylation,Alternative splicing,Cell cycle,Cell division,Chromosomal rearrangement,Complete proteome,Direct protein sequencing,DNA condensation,DNA-binding,Growth regulation,Mitosis,Nucleus,Phosphoprotein,Proteomics identification,Proto-oncogene,Reference proteome,Repeat,Transcription,Transcription regulation,	chain:High mobility group protein HMGI-C,DNA-binding region:A.T hook 1,DNA-binding region:A.T hook 2,DNA-binding region:A.T hook 3,modified residue,region of interest:Interaction with E4F1,
DHI1_HUMAN	hydroxysteroid 11-beta dehydrogenase 1(HSD11B1)	Homo sapiens		h_vobesityPathway:Visceral Fat Deposits and the Metabolic Syndrome,	Cell envelope biogenesis, outer membrane,	GO:0006704~glucocorticoid biosynthetic process,GO:0030324~lung development,GO:0055114~oxidation-reduction process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003845~11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity,GO:0016491~oxidoreductase activity,GO:0070524~11-beta-hydroxysteroid dehydrogenase (NADP+) activity,	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain,IPR020904:Short-chain dehydrogenase/reductase, conserved site,	hsa00140:Steroid hormone biosynthesis,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,	614662~Cortisone reductase deficiency 2,			3D-structure,Complete proteome,Endoplasmic reticulum,Glycoprotein,Lipid metabolism,Membrane,NADP,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Signal-anchor,Steroid metabolism,Transmembrane,Transmembrane helix,	active site:Proton acceptor,binding site:Substrate,chain:Corticosteroid 11-beta-dehydrogenase isozyme 1,glycosylation site:N-linked (GlcNAc...),helix,mutagenesis site,nucleotide phosphate-binding region:NADP,sequence variant,strand,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
IDS_HUMAN	iduronate 2-sulfatase(IDS)	Homo sapiens			Inorganic ion transport and metabolism,	GO:0006027~glycosaminoglycan catabolic process,GO:0008152~metabolic process,GO:0030207~chondroitin sulfate catabolic process,	GO:0043202~lysosomal lumen,	GO:0004423~iduronate-2-sulfatase activity,GO:0008484~sulfuric ester hydrolase activity,GO:0046872~metal ion binding,	IPR000917:Sulfatase,IPR017849:Alkaline phosphatase-like, alpha/beta/alpha,IPR017850:Alkaline-phosphatase-like, core domain,IPR024607:Sulfatase, conserved site,	hsa00531:Glycosaminoglycan degradation,hsa01100:Metabolic pathways,hsa04142:Lysosome,	309900~Mucopolysaccharidosis II,			Alternative splicing,Calcium,Complete proteome,Direct protein sequencing,Disease mutation,Glycoprotein,Hydrolase,Lysosome,Metal-binding,Mucopolysaccharidosis,Proteomics identification,Reference proteome,Signal,Zymogen,	chain:Iduronate 2-sulfatase 14 kDa chain,chain:Iduronate 2-sulfatase 42 kDa chain,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Calcium,metal ion-binding site:Calcium; via 3-oxoalanine,modified residue,sequence variant,signal peptide,splice variant,
INHBA_HUMAN	inhibin beta A subunit(INHBA)	Homo sapiens				GO:0000082~G1/S transition of mitotic cell cycle,GO:0001541~ovarian follicle development,GO:0001942~hair follicle development,GO:0002244~hematopoietic progenitor cell differentiation,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006952~defense response,GO:0007050~cell cycle arrest,GO:0007166~cell surface receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0007399~nervous system development,GO:0008285~negative regulation of cell proliferation,GO:0008584~male gonad development,GO:0010628~positive regulation of gene expression,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0021773~striatal medium spiny neuron differentiation,GO:0030154~cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030308~negative regulation of cell growth,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032924~activin receptor signaling pathway,GO:0035987~endodermal cell differentiation,GO:0040007~growth,GO:0042326~negative regulation of phosphorylation,GO:0042476~odontogenesis,GO:0042493~response to drug,GO:0042541~hemoglobin biosynthetic process,GO:0042701~progesterone secretion,GO:0043408~regulation of MAPK cascade,GO:0045077~negative regulation of interferon-gamma biosynthetic process,GO:0045578~negative regulation of B cell differentiation,GO:0045648~positive regulation of erythrocyte differentiation,GO:0045650~negative regulation of macrophage differentiation,GO:0045786~negative regulation of cell cycle,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046880~regulation of follicle-stimulating hormone secretion,GO:0046881~positive regulation of follicle-stimulating hormone secretion,GO:0046882~negative regulation of follicle-stimulating hormone secretion,GO:0048333~mesodermal cell differentiation,GO:0048468~cell development,GO:0051799~negative regulation of hair follicle development,GO:0060021~palate development,GO:0060279~positive regulation of ovulation,GO:0060395~SMAD protein signal transduction,GO:0061029~eyelid development in camera-type eye,GO:0071372~cellular response to follicle-stimulating hormone stimulus,GO:0071397~cellular response to cholesterol,GO:0097154~GABAergic neuron differentiation,GO:0097191~extrinsic apoptotic signaling pathway,GO:2001241~positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005576~extracellular region,GO:0043509~activin A complex,GO:0043512~inhibin A complex,GO:0048471~perinuclear region of cytoplasm,	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0017046~peptide hormone binding,GO:0034711~inhibin binding,GO:0042802~identical protein binding,GO:0046982~protein heterodimerization activity,GO:0070699~type II activin receptor binding,	IPR000491:Inhibin, beta A subunit,IPR001111:Transforming growth factor-beta, N-terminal,IPR001839:Transforming growth factor-beta, C-terminal,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,			SM00204:TGFB,	3D-structure,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,Glycoprotein,Growth factor,Hormone,Polymorphism,Reference proteome,Secreted,Signal,	chain:Inhibin beta A chain,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,sequence conflict,sequence variant,signal peptide,strand,turn,
IP3KA_HUMAN	inositol-trisphosphate 3-kinase A(ITPKA)	Homo sapiens				GO:0006020~inositol metabolic process,GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0030036~actin cytoskeleton organization,GO:0043647~inositol phosphate metabolic process,GO:0048167~regulation of synaptic plasticity,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0097062~dendritic spine maintenance,	GO:0005829~cytosol,GO:0043197~dendritic spine,	GO:0004683~calmodulin-dependent protein kinase activity,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008440~inositol-1,4,5-trisphosphate 3-kinase activity,GO:0048365~Rac GTPase binding,	IPR005522:Inositol polyphosphate kinase,	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04020:Calcium signaling pathway,hsa04070:Phosphatidylinositol signaling system,				3D-structure,ATP-binding,Calmodulin-binding,Complete proteome,Kinase,Methylation,Nucleotide-binding,Phosphoprotein,Proteomics identification,Reference proteome,Transferase,	binding site:ATP,binding site:Substrate,chain:Inositol-trisphosphate 3-kinase A,helix,nucleotide phosphate-binding region:ATP,region of interest:Calmodulin-binding,region of interest:Substrate binding,sequence conflict,strand,turn,
IBP5_HUMAN	insulin like growth factor binding protein 5(IGFBP5)	Homo sapiens		h_ghrelinPathway:Ghrelin: Regulation of Food Intake and Energy Homeostasis,		GO:0001558~regulation of cell growth,GO:0001649~osteoblast differentiation,GO:0006006~glucose metabolic process,GO:0007165~signal transduction,GO:0007565~female pregnancy,GO:0007568~aging,GO:0010906~regulation of glucose metabolic process,GO:0014912~negative regulation of smooth muscle cell migration,GO:0017148~negative regulation of translation,GO:0030336~negative regulation of cell migration,GO:0031069~hair follicle morphogenesis,GO:0035556~intracellular signal transduction,GO:0042593~glucose homeostasis,GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,GO:0043569~negative regulation of insulin-like growth factor receptor signaling pathway,GO:0044267~cellular protein metabolic process,GO:0044342~type B pancreatic cell proliferation,GO:0045668~negative regulation of osteoblast differentiation,GO:0045926~negative regulation of growth,GO:0048286~lung alveolus development,GO:0048662~negative regulation of smooth muscle cell proliferation,GO:0051146~striated muscle cell differentiation,GO:0051897~positive regulation of protein kinase B signaling,GO:0060056~mammary gland involution,GO:0060416~response to growth hormone,GO:0071320~cellular response to cAMP,GO:0071407~cellular response to organic cyclic compound,GO:1901862~negative regulation of muscle tissue development,GO:1904205~negative regulation of skeletal muscle hypertrophy,	GO:0005576~extracellular region,GO:0005622~intracellular,GO:0016942~insulin-like growth factor binding protein complex,GO:0042567~insulin-like growth factor ternary complex,	GO:0001968~fibronectin binding,GO:0005515~protein binding,GO:0031994~insulin-like growth factor I binding,GO:0031995~insulin-like growth factor II binding,	IPR000716:Thyroglobulin type-1,IPR000867:Insulin-like growth factor-binding protein, IGFBP,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR009168:Insulin-like growth factor binding protein,IPR012213:Insulin-like growth factor binding protein 5,IPR017891:Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site,IPR022321:Insulin-like growth factor-binding protein family 1-6, chordata,				SM00121:IB,SM00211:TY,	3D-structure,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Growth factor binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,	chain:Insulin-like growth factor-binding protein 5,disulfide bond,domain:IGFBP N-terminal,domain:Thyroglobulin type-1,glycosylation site:O-linked (HexNAc...),helix,sequence variant,signal peptide,strand,
ITA1_HUMAN	integrin subunit alpha 1(ITGA1)	Homo sapiens				GO:0000187~activation of MAPK activity,GO:0006936~muscle contraction,GO:0007160~cell-matrix adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0008285~negative regulation of cell proliferation,GO:0030198~extracellular matrix organization,GO:0030593~neutrophil chemotaxis,GO:0032516~positive regulation of phosphoprotein phosphatase activity,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,GO:0042311~vasodilation,GO:0043525~positive regulation of neuron apoptotic process,GO:0045123~cellular extravasation,GO:0048812~neuron projection morphogenesis,	GO:0001669~acrosomal vesicle,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0008305~integrin complex,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0034665~integrin alpha1-beta1 complex,GO:0043005~neuron projection,GO:0043204~perikaryon,GO:0045121~membrane raft,GO:0045178~basal part of cell,GO:0070062~extracellular exosome,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0019903~protein phosphatase binding,GO:0046872~metal ion binding,GO:0098639~collagen binding involved in cell-matrix adhesion,	IPR000413:Integrin alpha chain,IPR002035:von Willebrand factor, type A,IPR013517:FG-GAP repeat,IPR013519:Integrin alpha beta-propellor,IPR013649:Integrin alpha-2,IPR018184:Integrin alpha chain, C-terminal cytoplasmic region, conserved site,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04640:Hematopoietic cell lineage,hsa04810:Regulation of actin cytoskeleton,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,			SM00191:Int_alpha,SM00327:VWA,	3D-structure,Calcium,Cell adhesion,Complete proteome,Disulfide bond,Glycoprotein,Integrin,Magnesium,Membrane,Metal-binding,Polymorphism,Receptor,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Integrin alpha-1,disulfide bond,domain:VWFA,glycosylation site:N-linked (GlcNAc...),helix,repeat:FG-GAP 1,repeat:FG-GAP 2,repeat:FG-GAP 3,repeat:FG-GAP 4,repeat:FG-GAP 5,repeat:FG-GAP 6,repeat:FG-GAP 7,sequence conflict,sequence variant,short sequence motif:GFFKR motif,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
ICAM1_HUMAN	intercellular adhesion molecule 1(ICAM1)	Homo sapiens	125.T_Cells_CNS-APCs,18.Cytokine_astocytes,55.Allergen_recognition_by_Th2_or_Th0_cell,58.(CD40L)_immnosurveillance,60.IL-15_rheumatoid-arthritis_synovitis,8.MonocytesIFNF_IL4,81.Structure_of_Caps_and_SMACs,96.Immune_injury_MS-lesions_genetic_environ,	h_blymphocytePathway:B Lymphocyte Cell Surface Molecules,h_ctlPathway:CTL mediated immune response against target cells ,h_granulocytesPathway:Adhesion and Diapedesis of Granulocytes,h_LairPathway:Cells and Molecules involved in local acute inflammatory response,h_lymPathway:Adhesion and Diapedesis of Lymphocytes,h_lymphocytePathway:Adhesion Molecules on Lymphocyte,h_monocytePathway:Monocyte and its Surface Molecules,h_neutrophilPathway:Neutrophil and Its Surface Molecules,h_tcytotoxicPathway:T Cytotoxic Cell Surface Molecules,h_thelperPathway:T Helper Cell Surface Molecules,		GO:0001541~ovarian follicle development,GO:0001910~regulation of leukocyte mediated cytotoxicity,GO:0001975~response to amphetamine,GO:0002291~T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,GO:0002438~acute inflammatory response to antigenic stimulus,GO:0002457~T cell antigen processing and presentation,GO:0002693~positive regulation of cellular extravasation,GO:0007155~cell adhesion,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007159~leukocyte cell-cell adhesion,GO:0007569~cell aging,GO:0007605~sensory perception of sound,GO:0008360~regulation of cell shape,GO:0010212~response to ionizing radiation,GO:0010477~response to sulfur dioxide,GO:0014070~response to organic cyclic compound,GO:0016337~single organismal cell-cell adhesion,GO:0022614~membrane to membrane docking,GO:0030155~regulation of cell adhesion,GO:0030198~extracellular matrix organization,GO:0030838~positive regulation of actin filament polymerization,GO:0031669~cellular response to nutrient levels,GO:0033627~cell adhesion mediated by integrin,GO:0034698~response to gonadotropin,GO:0042493~response to drug,GO:0043200~response to amino acid,GO:0043547~positive regulation of GTPase activity,GO:0044406~adhesion of symbiont to host,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045471~response to ethanol,GO:0045907~positive regulation of vasoconstriction,GO:0046688~response to copper ion,GO:0046718~viral entry into host cell,GO:0046813~receptor-mediated virion attachment to host cell,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050776~regulation of immune response,GO:0050900~leukocyte migration,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051926~negative regulation of calcium ion transport,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0061028~establishment of endothelial barrier,GO:0070234~positive regulation of T cell apoptotic process,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071312~cellular response to alkaloid,GO:0071333~cellular response to glucose stimulus,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071456~cellular response to hypoxia,GO:0097368~establishment of Sertoli cell barrier,GO:1900027~regulation of ruffle assembly,GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:2000352~negative regulation of endothelial cell apoptotic process,	GO:0001772~immunological synapse,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005925~focal adhesion,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0045121~membrane raft,GO:0070062~extracellular exosome,	GO:0001618~virus receptor activity,GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005178~integrin binding,GO:0005515~protein binding,	IPR003599:Immunoglobulin subtype,IPR003987:Intercellular adhesion molecule/vascular cell adhesion molecule, N-terminal,IPR003988:Intercellular adhesion molecule,IPR007110:Immunoglobulin-like domain,IPR013768:Intercellular adhesion molecule, N-terminal,IPR013783:Immunoglobulin-like fold,	hsa04064:NF-kappa B signaling pathway,hsa04514:Cell adhesion molecules (CAMs),hsa04650:Natural killer cell mediated cytotoxicity,hsa04668:TNF signaling pathway,hsa04670:Leukocyte transendothelial migration,hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05150:Staphylococcus aureus infection,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05323:Rheumatoid arthritis,hsa05416:Viral myocarditis,	611162~Malaria, cerebral, susceptibility to,		SM00409:IG,	3D-structure,Cell adhesion,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Host cell receptor for virus entry,Host-virus interaction,Immunoglobulin domain,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Intercellular adhesion molecule 1,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,glycosylation site:N-linked (GlcNAc...),helix,modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site; atypical,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
IL1A_HUMAN	interleukin 1 alpha(IL1A)	Homo sapiens	110.CRHandLC-NA,114.Genomic_reformatting_Brain_Ischemia,125.T_Cells_CNS-APCs,19.Cytokine_microglia,22.Cytokine-chemokine_CNS,56.Macrophage_regulation_of_CD4+T_cells,58.(CD40L)_immnosurveillance,88.Alternatively_Activated_APC,	h_cytokinePathway:Cytokine Network,h_erythPathway:Erythrocyte Differentiation Pathway,h_granulocytesPathway:Adhesion and Diapedesis of Granulocytes,h_hsp27Pathway:Stress Induction of HSP Regulation,h_il10Pathway:IL-10 Anti-inflammatory Signaling Pathway,h_il1rPathway:Signal transduction through IL1R,h_inflamPathway:Cytokines and Inflammatory Response,h_LairPathway:Cells and Molecules involved in local acute inflammatory response,h_lymPathway:Adhesion and Diapedesis of Lymphocytes,h_nfkbPathway:NF-kB Signaling Pathway,		GO:0001660~fever generation,GO:0002248~connective tissue replacement involved in inflammatory response wound healing,GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0010628~positive regulation of gene expression,GO:0019221~cytokine-mediated signaling pathway,GO:0032755~positive regulation of interleukin-6 production,GO:0034605~cellular response to heat,GO:0035234~ectopic germ cell programmed cell death,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0045086~positive regulation of interleukin-2 biosynthetic process,GO:0045766~positive regulation of angiogenesis,GO:0045840~positive regulation of mitotic nuclear division,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046330~positive regulation of JNK cascade,GO:0046688~response to copper ion,GO:0050714~positive regulation of protein secretion,GO:0050715~positive regulation of cytokine secretion,GO:0051781~positive regulation of cell division,GO:0070498~interleukin-1-mediated signaling pathway,GO:0071639~positive regulation of monocyte chemotactic protein-1 production,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:2000391~positive regulation of neutrophil extravasation,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005829~cytosol,	GO:0005125~cytokine activity,GO:0005149~interleukin-1 receptor binding,GO:0005507~copper ion binding,GO:0005515~protein binding,	IPR000975:Interleukin-1,IPR003294:Interleukin-1, alpha/beta,IPR003295:Interleukin-1, alpha IL1A,IPR003502:Interleukin-1 propeptide,IPR008996:Cytokine, IL-1-like,IPR020877:Interleukin-1 conserved site,	hsa04010:MAPK signaling pathway,hsa04060:Cytokine-cytokine receptor interaction,hsa04380:Osteoclast differentiation,hsa04640:Hematopoietic cell lineage,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04940:Type I diabetes mellitus,hsa05020:Prion diseases,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05140:Leishmaniasis,hsa05152:Tuberculosis,hsa05162:Measles,hsa05164:Influenza A,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,hsa05332:Graft-versus-host disease,				3D-structure,Complete proteome,Cytokine,Direct protein sequencing,Glycoprotein,Inflammatory response,Lipoprotein,Mitogen,Myristate,Phosphoprotein,Polymorphism,Pyrogen,Reference proteome,Secreted,	chain:Interleukin-1 alpha,glycosylation site:N-linked (GlcNAc...),helix,lipid moiety-binding region:N6-myristoyl lysine,sequence variant,strand,turn,
